   "x"   , "sin(x)"
0.000000 , 0.000000
0.062832 , 0.062791
0.125664 , 0.125334
0.188496 , 0.187382
0.251328 , 0.248690
0.314160 , 0.309018
0.376992 , 0.368125
0.439824 , 0.425780
0.502656 , 0.481755
0.565488 , 0.535828
0.628320 , 0.587786
0.691152 , 0.637425
0.753984 , 0.684548
0.816816 , 0.728970
0.879648 , 0.770515
0.942480 , 0.809018
1.005312 , 0.844329
1.068144 , 0.876308
1.130976 , 0.904828
1.193808 , 0.929778
1.256640 , 0.951057
1.319472 , 0.968584
1.382304 , 0.982288
1.445136 , 0.992115
1.507968 , 0.998027
1.570800 , 1.000000
1.633632 , 0.998026
1.696464 , 0.992114
1.759296 , 0.982287
1.822128 , 0.968582
1.884960 , 0.951055
1.947792 , 0.929775
2.010624 , 0.904825
2.073456 , 0.876304
2.136288 , 0.844325
2.199120 , 0.809014
2.261951 , 0.770510
2.324783 , 0.728965
2.387615 , 0.684544
2.450447 , 0.637420
2.513279 , 0.587781
2.576111 , 0.535823
2.638943 , 0.481749
2.701775 , 0.425775
2.764606 , 0.368120
2.827438 , 0.309012
2.890270 , 0.248685
2.953102 , 0.187376
3.015934 , 0.125328
3.078766 , 0.062785
3.141598 , -0.000005
3.204430 , -0.062796
3.267262 , -0.125338
3.330093 , -0.187386
3.392925 , -0.248695
3.455757 , -0.309022
3.518589 , -0.368129
3.581421 , -0.425784
3.644253 , -0.481758
3.707085 , -0.535831
3.769917 , -0.587790
3.832748 , -0.637428
3.895580 , -0.684551
3.958412 , -0.728972
4.021244 , -0.770517
4.084076 , -0.809020
4.146908 , -0.844331
4.209740 , -0.876309
4.272572 , -0.904829
4.335403 , -0.929779
4.398235 , -0.951058
4.461067 , -0.968585
4.523899 , -0.982288
4.586731 , -0.992115
4.649563 , -0.998027
4.712395 , -1.000000
4.775227 , -0.998026
4.838058 , -0.992114
4.900890 , -0.982286
4.963722 , -0.968582
5.026554 , -0.951055
5.089386 , -0.929774
5.152218 , -0.904825
5.215050 , -0.876304
5.277882 , -0.844325
5.340714 , -0.809013
5.403545 , -0.770509
5.466377 , -0.728965
5.529209 , -0.684543
5.592041 , -0.637419
5.654873 , -0.587780
5.717705 , -0.535822
5.780537 , -0.481748
5.843369 , -0.425774
5.906200 , -0.368119
5.969032 , -0.309011
6.031864 , -0.248684
6.094696 , -0.187375
6.157528 , -0.125327
6.220360 , -0.062784
6.283192 , 0.000006
